Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Prospect Status
"Construction and Roofing Companies in Humble, TX",Construction and Roofing Companies in Humble TX,Cold,2,construction,http://www.infinitycontractingservices.com,,
"McMullen Roofing, Inc.",McMullen Roofing,Cold,8,construction,http://www.mcmullenroofing.com,,
Northkit Roofing,Northkit Roofing,Cold,5,construction,http://www.northkitroofing.com,https://www.facebook.com/northkitroofing,
Belfry Facade Systems Ltd,Belfry Facade,Cold,5,construction,http://www.belfryltd.co.uk,https://www.facebook.com/Belfryltd/,
HARCA - Houston Area Roofing Contractors Association,HARCA,Cold,2,construction,http://www.harca.net,http://www.facebook.com/harca.tx,
Lenox Roofing Solutions,Lenox Roofing Solutions,Cold,10,construction,http://www.lenoxroof.com,https://www.facebook.com/LenoxRoofing,
"Xpert Roofing, LLC",Xpert Roofing,Cold,4,construction,http://www.xpertroofingllc.com,https://www.facebook.com/Xpert-Roofing-LLC-101208591734090,
"The Warndorf Group, LLC",The Warndorf Group,Cold,2,construction,http://www.warndorfgroup.com,,
"ALLIED ROOFING OF TEXAS, INC.",ALLIED ROOFING OF TEXAS,Cold,2,construction,http://www.alliedroofingtexas.com,https://facebook.com/pages/Alliedroofingtexas/256432974522769,
FOREMAN'S ROOFING SYSTEMS LLC,FOREMAN'S ROOFING,Cold,4,construction,http://www.foremansroofing.com,https://www.facebook.com/foremansroofing,
Big Time Roofing LLC,Big Time Roofing,Cold,3,construction,http://www.bigtimeroof.com,,
Doug Oliver Development,Doug Oliver Development,Cold,1,construction,http://www.dougoliverdevelopment.com,https://facebook.com/DODOrlandoRoofingNetwork,
Essence Roofing and Building Services Ltd,Essence Roofing and Building Services,Cold,7,construction,http://www.essencebuilding.co.uk,,
RTI Roofing,RTI Roofing,Cold,1,construction,http://www.rtiservicesinc.com,https://facebook.com/pages/RTI-Services-Inc/329174873942504,
Proctor Roofing,Proctor Roofing,Cold,7,construction,http://www.proctorroofing.co.uk,https://www.facebook.com/pages/Proctor-Roofing/133041106719348,
Gribben Solar Roofing,Gribben Solar Roofing,Cold,3,construction,http://www.gribbenroofing.com,,
D Adams & Sons Roofing LTD,D Adams & Sons Roofing,Cold,8,construction,http://www.dadamsroofing.co.uk,,
DRAGON ROOFING & CLADDING LTD,DRAGON ROOFING & CLADDING,Cold,6,construction,http://www.dragoncladding.co.uk,,
"American Shield Roofing and Construction, LLC",American Shield Roofing and Construction,Cold,3,construction,http://www.americanshieldroofing.com,,
