Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Website Status,Social Media Links
Columbia Cabinets & Interiors,Columbia Cabinets & Interiors,Cold,2,construction,http://www.columbiacabinets.com,,Online,['https://www.instagram.com/columbiakitchencabinets']
Best Deck & Flooring,Best Deck & Flooring,Cold,6,construction,http://www.bestdeck.co.za,https://www.facebook.com/bestdeck/,Online,"['https://www.facebook.com/bestdeck/', 'https://www.instagram.com/bestdeckandflooring/']"
Weknowflooring,Weknowflooring,Cold,2,construction,http://www.weknowflooring.co.uk,http://www.facebook.com/ndbwkfsss/,Online,"['https://www.instagram.com/weknowflooring.co.uk/', 'http://www.facebook.com/ndbwkfsss/', 'https://www.instagram.com/weknowflooring.co.uk/', 'http://www.facebook.com/ndbwkfsss/']"
Ultimate Flooring Australia,Ultimate Flooring Australia,Cold,5,construction,http://www.ultimateflooringaustralia.com.au,https://www.facebook.com/ultimateflooringaust,Online,None
Nationwide Flooring Contracts Limited,Nationwide Flooring Contracts Limited,Cold,5,construction,http://www.nationwideflooring.co.uk,https://www.facebook.com/Nationwide-Flooring-578541778978635/,Online,['https://www.facebook.com/Nationwide-Flooring-578541778978635/']
IMPERIAL FLOORING AUSTRALIA,IMPERIAL FLOORING AUSTRALIA,Cold,2,construction,http://www.imperialflooringaustralia.com.au,https://www.facebook.com/imperialflooringaustralia/,Online,"['https://www.instagram.com/imperialflooringaustralia/', 'https://www.facebook.com/imperialflooringaustralia/']"
AMS Nyathi Flooring,AMS Nyathi Flooring,Cold,2,construction,http://www.amsnyathigroup.co.za,https://www.facebook.com/AmsNyathiGroup/,Online,"['https://www.facebook.com/AmsNyathiGroup?mibextid=LQQJ4d', 'https://www.instagram.com/_amstilelab?igsh=MWc1Y3B5bmZsaHZpNw==']"
Flooring Center USA,Flooring Center USA,Cold,9,construction,http://www.flooringcenterusa.com,,Offline or Error,None
Urban Flooring Systems,Urban Flooring,Cold,7,construction,http://www.urbanflooringsystems.com,,Online,"['https://www.facebook.com/Urban-Flooring-Systems-209804619805241/', 'https://www.facebook.com/Urban-Flooring-Systems-209804619805241/', 'http://www.instagram.com/urbanflooringsystems/', 'http://www.instagram.com/urbanflooringsystems/']"
Sydney Flooring Group,Sydney Flooring Group,Cold,4,construction,http://www.sydneyflooringgroup.com.au,https://facebook.com/sydneyflooring/,Offline or Error,None
Waddington Flooring,Waddington Flooring,Cold,3,construction,http://www.waddingtonflooring.co.uk,https://www.facebook.com/profile.php,Online,"['https://www.facebook.com/profile.php?viewas=100000686899395&id=100085944805749', 'https://www.instagram.com/six_squared/']"
Bravo Flooring,Bravo Flooring,Cold,9,construction,http://www.bravosfloorcovering.com,,Offline or Error,None
RGD Construction Las Vegas,RGD Construction Las Vegas,Cold,6,construction,http://www.rgdlv.com,,Online,"['https://www.facebook.com/RGDLV', 'https://www.instagram.com/rgdlv/']"
Hoff Parquet,Hoff Parquet,Cold,1,construction,http://www.hoffparquet.co.uk,https://www.facebook.com/HoffParquetUK/,Online,"['https://www.instagram.com/hoffparquet/', 'https://www.facebook.com/HoffParquetUK/']"
Network Flooring & Maintenance,Network Flooring & Maintenance,Cold,6,construction,http://www.networkflooring.net,,Online,"['https://www.facebook.com/networkflooring.net/', 'https://www.facebook.com/networkflooring.net/', 'https://www.facebook.com/networkflooring.net/', 'https://www.facebook.com/networkflooring.net/', 'https://www.facebook.com/networkflooring.net/']"
Columbus Epoxy Flooring,Columbus Epoxy Flooring,Cold,2,construction,http://www.columbusepoxyflooring.com,https://www.facebook.com/ColumbusEpoxyFlooring/,Offline or Error,None
Kingston Flooring,Kingston Flooring,Cold,8,construction,http://www.kingstonfloors.com,https://facebook.com/KingstonFlooring,Online,None
Gemstone Surfaces Ltd,Gemstone Surfaces,Cold,2,construction,http://www.gemstone-surfaces.com,https://www.facebook.com/GemstoneSurfacesLtd,Online,"['https://www.instagram.com/gemstonesurfaces/?hl=en', 'https://www.facebook.com/GemstoneSurfacesLtd', 'https://www.facebook.com/GemstoneSurfacesLtd', 'https://www.instagram.com/gemstonesurfaces/?hl=en']"
